Company1,Company2,ClusterID,Correlation,ADFStat,p-value
42542,43050,15_2012,0.9615918224854607,-6.435282989000473,1.658717554545814e-08
13062,43936,19_2013,0.9615918224854607,-6.435282989000473,1.658717554545814e-08
40428,40712,9_2011,0.9615918224854607,-6.435282989000473,1.658717554545814e-08
12468,18497,4_2011,0.9784130617218092,-6.364931982016887,2.4229702702302787e-08
41605,42683,5_2012,0.9784130617218092,-6.364931982016887,2.4229702702302787e-08
18987,44837,6_2013,0.9784130617218092,-6.211544696990482,5.492268213926824e-08
39384,40957,4_2011,0.9657420637244003,-6.162990609697919,7.099626207625601e-08
41116,41679,5_2012,0.9867031559916121,-6.070485080884758,1.1540456690885969e-07
44256,44693,6_2013,0.9867031559916121,-6.070485080884758,1.1540456690885969e-07
12491,40367,4_2011,0.9867031559916122,-6.037000849498509,1.374442592430706e-07
43528,44869,6_2013,0.9725377366437506,-5.717742738294912,7.056633148456883e-07
43225,43368,5_2012,0.9725377366437506,-5.717742738294912,7.056633148456883e-07
12952,44638,6_2013,0.9532178608001095,-5.386312456495826,3.618787030093809e-06
39251,39688,9_2011,0.9753659289105877,-5.365272078675724,4.005061769383336e-06
19118,45739,19_2013,0.9584042201198215,-5.3262949454816475,4.829110056689584e-06
44059,44761,19_2013,0.9586802571875636,-5.313617629265273,5.13098891424759e-06
41606,42327,15_2012,0.9770644359580747,-5.29338440424307,5.651101013431358e-06
41485,42022,5_2012,0.9513369246499703,-5.2357318589331125,7.429342013209148e-06
40849,40893,9_2011,0.9739328270655087,-5.212091643023941,8.305846178900128e-06
43579,44256,6_2013,0.9778793151677471,-5.1798251434634155,9.665362519489718e-06
12468,40586,4_2011,0.9753554075330324,-5.179693424314946,9.6713310528232e-06
44837,45500,6_2013,0.9753554075330324,-5.179693424314946,9.6713310528232e-06
43467,45739,19_2013,0.9770644359580748,-5.161567530643857,1.0527596503948923e-05
41666,42895,5_2012,0.9532178608001095,-5.127826529540746,1.2320916386350246e-05
39824,40238,4_2011,0.9532178608001095,-5.127826529540746,1.2320916386350246e-05
41447,41605,5_2012,0.9753554075330324,-5.122177200726896,1.2648719690097387e-05
43899,45583,6_2013,0.9803225900221125,-5.090092391161409,1.4676539178425973e-05
12283,39282,4_2011,0.976366372254536,-5.038407980601208,1.8619565387305437e-05
41908,43178,15_2012,0.9739328270655085,-5.029189109550082,1.9422909836660325e-05
18930,44676,19_2013,0.9739328270655085,-5.029189109550082,1.9422909836660325e-05
43899,44230,6_2013,0.9707535871398854,-5.024013173085491,1.988850262704756e-05
41116,43334,5_2012,0.9502480993967142,-5.000720986304309,2.2120352994376105e-05
40367,40957,4_2011,0.9502480993967142,-5.000720986304309,2.2120352994376105e-05
43988,44693,6_2013,0.9538512103516396,-4.967438000289132,2.5733065753426073e-05
41697,43050,15_2012,0.9555280459322074,-4.96176074777816,2.640355709363198e-05
43899,45004,6_2013,0.9759278447461552,-4.959982109822788,2.6617057430613406e-05
41512,42219,15_2012,0.9896879033679273,-4.950449675670088,2.7789936430345163e-05
41606,42031,15_2012,0.9584042201198216,-4.9496034376339955,2.7896431370273705e-05
42031,42327,15_2012,0.9599175044452445,-4.940679511430744,2.904366147414748e-05
19118,43467,19_2013,0.9599175044452445,-4.940679511430744,2.904366147414748e-05
39218,41042,9_2011,0.9692399879980764,-4.9329489307054635,3.0074090298815057e-05
42051,42806,15_2012,0.9692399879980764,-4.9329489307054635,3.0074090298815057e-05
13016,43596,19_2013,0.9692399879980764,-4.9329489307054635,3.0074090298815057e-05
39701,40403,9_2011,0.9896879033679272,-4.9293442741527835,3.056651292626225e-05
19227,43412,19_2013,0.9896879033679272,-4.9293442741527835,3.056651292626225e-05
12302,40491,4_2011,-0.9590982803491154,-4.925371290942192,3.1118243734046335e-05
41686,41696,5_2012,0.9715707767165015,-4.877055304551967,3.86438735481465e-05
44693,45434,6_2013,0.9803724375717722,-4.835539257195498,4.648227334189174e-05
43936,44059,19_2013,0.9555280459322074,-4.833998362662772,4.68007871697484e-05
40712,41048,9_2011,0.9555280459322074,-4.833998362662772,4.68007871697484e-05
39324,40163,9_2011,0.9601015889376124,-4.822490362936269,4.9246750692236356e-05
41605,41950,5_2012,0.967806056170097,-4.800745003462065,5.4207745585306464e-05
