Company1,Company2,ClusterID,Correlation,ADFStat,p-value
39352,40609,Manufacturing_2011,0.9577747212199565,-8.59189202076166,7.248497214501798e-14
44244,45393,Manufacturing_2013,0.9577747212199567,-8.33567257451885,3.2775169608770936e-13
18625,41770,Manufacturing_2012,0.9577747212199567,-8.33567257451885,3.2775169608770936e-13
13062,43936,"Finance, Insurance, And Real Estate_2013",0.9615918224854607,-6.435282989000473,1.658717554545814e-08
40428,40712,"Finance, Insurance, And Real Estate_2011",0.9615918224854607,-6.435282989000473,1.658717554545814e-08
42542,43050,"Finance, Insurance, And Real Estate_2012",0.9615918224854607,-6.435282989000473,1.658717554545814e-08
41605,42683,Manufacturing_2012,0.9784130617218092,-6.364931982016887,2.4229702702302787e-08
12468,18497,Manufacturing_2011,0.9784130617218092,-6.364931982016887,2.4229702702302787e-08
18987,44837,Manufacturing_2013,0.9784130617218092,-6.211544696990482,5.492268213926824e-08
43988,45739,"Finance, Insurance, And Real Estate_2013",0.9657420637244001,-6.188135119005318,6.216765705895309e-08
39384,40957,"Finance, Insurance, And Real Estate_2011",0.9657420637244003,-6.162990609697919,7.099626207625601e-08
41606,43334,"Finance, Insurance, And Real Estate_2012",0.9657420637244003,-6.162990609697919,7.099626207625601e-08
12974,45069,Manufacturing_2013,0.9611325576388168,-6.083053216445073,1.0806078533557864e-07
12279,40105,Manufacturing_2011,0.9611325576388168,-6.083053216445073,1.0806078533557864e-07
41374,42966,Manufacturing_2012,0.9611325576388168,-6.083053216445073,1.0806078533557864e-07
45069,45209,Manufacturing_2013,0.9531460901257753,-6.021013117884674,1.493753674619034e-07
19227,43429,"Finance, Insurance, And Real Estate_2013",0.9930213387470871,-6.016647858839511,1.5280580518284088e-07
42219,42751,"Finance, Insurance, And Real Estate_2012",0.9930213387470871,-6.016647858839511,1.5280580518284088e-07
12235,39701,"Finance, Insurance, And Real Estate_2011",0.9930213387470872,-6.013597954799904,1.5524829127420565e-07
18379,38913,"Finance, Insurance, And Real Estate_2011",0.9725377366437506,-5.717742738294912,7.056633148456883e-07
43528,44869,"Finance, Insurance, And Real Estate_2013",0.9725377366437506,-5.717742738294912,7.056633148456883e-07
43225,43368,"Finance, Insurance, And Real Estate_2012",0.9725377366437506,-5.717742738294912,7.056633148456883e-07
43463,45059,"Transportation, Communications, Electric, Gas, And Sanitary Services_2013",0.953855583286762,-5.655057945996164,9.663396879288337e-07
42729,43081,"Transportation, Communications, Electric, Gas, And Sanitary Services_2012",0.953855583286762,-5.655057945996164,9.663396879288337e-07
42887,42966,Manufacturing_2012,0.9531460901257752,-5.6256512580679505,1.1189932695521372e-06
40090,40105,Manufacturing_2011,0.9531460901257752,-5.6256512580679505,1.1189932695521372e-06
40308,40477,"Transportation, Communications, Electric, Gas, And Sanitary Services_2011",0.953855583286762,-5.595866831617281,1.2975099099919312e-06
