Company1,Company2,ClusterID,Correlation,ADFStat,p-value
40428,40712,4_2011,0.9615918224854607,-6.435282989000473,1.658717554545814e-08
42542,43050,14_2012,0.9615918224854607,-6.435282989000473,1.658717554545814e-08
13062,43936,19_2013,0.9615918224854607,-6.435282989000473,1.658717554545814e-08
41605,42683,5_2012,0.9784130617218092,-6.364931982016887,2.4229702702302787e-08
12468,18497,4_2011,0.9784130617218092,-6.364931982016887,2.4229702702302787e-08
42480,43334,5_2012,0.9615752417130314,-6.258782990637351,4.273781138586788e-08
18987,44837,6_2013,0.9784130617218092,-6.211544696990482,5.492268213926824e-08
18561,38949,4_2011,0.9550276985254627,-6.171937711798955,6.772204855242773e-08
39384,40957,4_2011,0.9657420637244003,-6.162990609697919,7.099626207625601e-08
41116,41679,5_2012,0.9867031559916121,-6.070485080884758,1.1540456690885969e-07
44256,44693,6_2013,0.9867031559916121,-6.070485080884758,1.1540456690885969e-07
12491,40367,4_2011,0.9867031559916122,-6.037000849498509,1.374442592430706e-07
12235,39701,4_2011,0.9930213387470872,-6.013597954799904,1.5524829127420565e-07
43528,44869,6_2013,0.9725377366437506,-5.717742738294912,7.056633148456883e-07
18379,38913,4_2011,0.9725377366437506,-5.717742738294912,7.056633148456883e-07
43225,43368,5_2012,0.9725377366437506,-5.717742738294912,7.056633148456883e-07
18388,40957,4_2011,0.970334499185744,-5.537264126555439,1.7334007109756702e-06
39063,41048,4_2011,0.9651736903719325,-5.407912049654149,3.25997675242533e-06
12952,44638,6_2013,0.9532178608001095,-5.386312456495826,3.618787030093809e-06
12468,39134,4_2011,0.9736242139731528,-5.37351567519505,3.8491701135656095e-06
39251,39688,4_2011,0.9753659289105877,-5.365272078675724,4.005061769383336e-06
19118,45739,19_2013,0.9584042201198215,-5.3262949454816475,4.829110056689584e-06
44059,44761,19_2013,0.9586802571875636,-5.313617629265273,5.13098891424759e-06
12410,39063,4_2011,0.9592428574054679,-5.312931425911258,5.147841341002322e-06
41606,42327,14_2012,0.9770644359580747,-5.29338440424307,5.651101013431358e-06
41485,42022,5_2012,0.9513369246499703,-5.2357318589331125,7.429342013209148e-06
40367,40806,4_2011,0.9730307355155006,-5.215758522646168,8.163610814322686e-06
40849,40893,4_2011,0.9739328270655087,-5.212091643023941,8.305846178900128e-06
