Company1,Company2,ClusterID,Correlation,ADFStat,p-value
38880,40713,43_2011,0.9616365771891944,-5.507115655263676,2.010243321585214e-06
18853,43115,1_2012,0.9616365771891944,-5.507115655263676,2.010243321585214e-06
19118,45739,31_2013,0.9584042201198215,-5.3262949454816475,4.829110056689584e-06
12489,40701,16_2011,0.9739233815027869,-5.294458472336728,5.62225008780795e-06
44057,19028,6_2013,0.9739233815027869,-5.294458472336728,5.62225008780795e-06
41339,42183,7_2012,0.9739233815027869,-5.294458472336728,5.62225008780795e-06
41606,42327,38_2012,0.9770644359580747,-5.29338440424307,5.651101013431358e-06
18764,42183,7_2012,0.952732386302817,-5.271940974919109,6.258086018161785e-06
44676,18930,31_2013,0.9739328270655087,-5.212091643023941,8.305846178900128e-06
40849,40893,0_2011,0.9739328270655087,-5.212091643023941,8.305846178900128e-06
19028,18970,6_2013,0.952732386302817,-5.210780372053671,8.357289702259406e-06
43936,13062,1_2013,0.9615918224854608,-5.205246697463501,8.577805599725124e-06
43467,45739,31_2013,0.9770644359580748,-5.161567530643857,1.0527596503948923e-05
12414,40067,48_2011,0.9721639081277252,-5.153740941492276,1.09195960631746e-05
44670,45513,4_2013,0.9768876850788549,-5.134134171131169,1.1964620382218627e-05
41624,43231,21_2012,0.9768876850788549,-5.134134171131169,1.1964620382218627e-05
39749,40277,48_2011,0.9733254420997406,-5.130179589018164,1.2186816761414683e-05
42990,41952,24_2012,0.9733254420997406,-5.130179589018164,1.2186816761414683e-05
43498,19182,0_2013,0.9616365771891944,-5.106699795060359,1.359058028732776e-05
44119,13082,15_2013,0.9665838922826429,-5.106531124468532,1.3601208861522355e-05
43899,45583,7_2013,0.9803225900221125,-5.090092391161409,1.4676539178425973e-05
41558,42182,9_2012,0.9731053485137262,-5.043372513835373,1.8200333648173612e-05
41042,39218,11_2011,0.9692399879980764,-5.024372564303567,1.9855829283512532e-05
43596,13016,48_2013,0.9692399879980764,-5.024372564303567,1.9855829283512532e-05
43301,42380,1_2012,0.9710464997315584,-5.012741194013004,2.094000969946434e-05
43231,42096,21_2012,0.9865926744919914,-4.992468528503625,2.2967591333148865e-05
