Company1,Company2,ClusterID,Correlation,ADFStat,p-value
40428,40712,0_2011,0.9615918224854607,-6.435282989000473,1.658717554545814e-08
44837,18987,2_2013,0.9784130617218092,-6.364931982016887,2.4229702702302787e-08
41605,42683,4_2012,0.9784130617218092,-6.364931982016887,2.4229702702302787e-08
12974,45069,0_2013,0.9611325576388168,-6.083053216445073,1.0806078533557864e-07
12279,40105,3_2011,0.9611325576388168,-6.083053216445073,1.0806078533557864e-07
41374,42966,0_2012,0.9611325576388168,-6.083053216445073,1.0806078533557864e-07
41116,41679,4_2012,0.9867031559916121,-6.070485080884758,1.1540456690885969e-07
12491,40367,2_2011,0.9867031559916122,-6.037000849498509,1.374442592430706e-07
12416,40480,6_2011,0.9533033362779256,-5.9330306713833325,2.3560127410704501e-07
44426,19189,6_2013,0.9655076605777487,-5.578932160443474,1.411091433853688e-06
41381,42359,3_2012,0.9655076605777487,-5.578932160443474,1.411091433853688e-06
18764,42405,0_2012,0.9627396989831052,-5.559538520666196,1.5530912383260014e-06
18599,39095,2_2011,0.9792385318519962,-5.5587663083777334,1.5590245631016339e-06
44190,44343,2_2013,0.9792385318519962,-5.5587663083777334,1.5590245631016339e-06
12770,43296,8_2012,0.9886276143925176,-5.552870671095871,1.605057808414479e-06
19182,45434,0_2013,0.9631695663572707,-5.5160674745659355,1.9238340106454057e-06
18853,41550,8_2012,0.9631695663572707,-5.5160674745659355,1.9238340106454057e-06
41375,41555,4_2012,0.979238531851996,-5.511888357712245,1.963713962975807e-06
18853,43115,8_2012,0.9616365771891944,-5.507115655263676,2.010243321585214e-06
38880,40713,3_2011,0.9616365771891944,-5.507115655263676,2.010243321585214e-06
45250,19167,8_2013,0.9886276143925176,-5.456241351840443,2.5779134291463565e-06
18764,41790,0_2012,0.9649762123587612,-5.410958759276033,3.212234406962452e-06
18764,42185,0_2012,0.9653247585846997,-5.392991348978959,3.5039253028141097e-06
43899,18970,0_2013,0.9627396989831051,-5.391206068109966,3.5342763274967492e-06
44857,18976,4_2013,0.9753659289105877,-5.365272078675724,4.005061769383336e-06
39251,39688,4_2011,0.9753659289105877,-5.365272078675724,4.005061769383336e-06
45150,45293,0_2013,0.9823900928174827,-5.3604632502312555,4.098814093010145e-06
19118,45739,3_2013,0.9584042201198215,-5.3262949454816475,4.829110056689584e-06
18712,41546,0_2012,0.9772611442257443,-5.323532496313318,4.8933851809334155e-06
44931,45593,0_2013,0.9772611442257443,-5.323532496313318,4.8933851809334155e-06
39742,39100,3_2011,0.9772611442257443,-5.323532496313318,4.8933851809334155e-06
44059,44761,3_2013,0.9586802571875636,-5.313617629265273,5.13098891424759e-06
41048,12336,0_2011,0.9586802571875636,-5.313617629265273,5.13098891424759e-06
12489,40701,6_2011,0.9739233815027869,-5.294458472336728,5.62225008780795e-06
44057,19028,6_2013,0.9739233815027869,-5.294458472336728,5.62225008780795e-06
41339,42183,3_2012,0.9739233815027869,-5.294458472336728,5.62225008780795e-06
39384,18388,4_2011,0.9770644359580747,-5.29338440424307,5.651101013431358e-06
18738,18853,8_2012,0.954517840472779,-5.2756892188672655,6.147610659147788e-06
39488,40652,2_2011,0.966583892282643,-5.214823820343514,8.199641472703032e-06
44817,18970,0_2013,0.9649762123587611,-5.212808740718895,8.277843021389149e-06
43050,42542,6_2012,0.9615918224854608,-5.205246697463501,8.577805599725124e-06
43936,13062,3_2013,0.9615918224854608,-5.205246697463501,8.577805599725124e-06
39742,40714,3_2011,0.9628399909709352,-5.19381333507083,9.051414251530387e-06
39950,40713,3_2011,0.9844529676401506,-5.169595117617149,1.0139688773362862e-05
12814,43188,8_2012,0.9931996344324909,-5.1594790563317705,1.0630846210506252e-05
41624,43231,8_2012,0.9768876850788549,-5.134134171131169,1.1964620382218627e-05
45058,45284,5_2013,0.9601262265283369,-5.132049043613012,1.2081284723243473e-05
41073,40874,9_2011,0.9601262265283369,-5.132049043613012,1.2081284723243473e-05
44076,18970,0_2013,0.9653247585846997,-5.111694848547295,1.3279437265728808e-05
45301,45583,2_2013,0.9780649328667801,-5.107186789739177,1.3559937936719759e-05
18737,42824,4_2012,0.9780649328667801,-5.107186789739177,1.3559937936719759e-05
43498,19182,0_2013,0.9616365771891944,-5.106699795060359,1.359058028732776e-05
42786,42307,4_2012,0.9665838922826429,-5.106531124468532,1.3601208861522355e-05
44119,13082,2_2013,0.9665838922826429,-5.106531124468532,1.3601208861522355e-05
43498,43990,0_2013,0.9844529676401506,-5.098009705237208,1.4148758336434952e-05
45286,45347,0_2013,0.9833246005675895,-5.0866795742950925,1.490986514825856e-05
45211,43518,8_2013,-0.9562352203169756,-5.080269312487198,1.5357843574208854e-05
39950,40535,3_2011,0.9808521948928485,-5.071090193022733,1.6022030329808648e-05
43252,42029,0_2012,0.9808521948928485,-5.071090193022733,1.6022030329808648e-05
43990,44554,0_2013,0.9808521948928485,-5.071090193022733,1.6022030329808648e-05
18757,42988,0_2012,0.9716675455877344,-5.060154059407379,1.684960808652302e-05
39365,40291,3_2011,0.9716675455877344,-5.060154059407379,1.684960808652302e-05
43787,44611,0_2013,0.9716675455877344,-5.060154059407379,1.684960808652302e-05
43911,44790,0_2013,0.9533450422163743,-5.044744594627054,1.8086084340784756e-05
41558,42182,0_2012,0.9731053485137262,-5.043372513835373,1.8200333648173612e-05
12814,42771,8_2012,0.9880022213667562,-5.036350169182035,1.8796056910551403e-05
44559,45577,2_2013,0.972570698737708,-5.0343338022575805,1.8970559424716786e-05
43596,13016,4_2013,0.9692399879980764,-5.024372564303567,1.9855829283512532e-05
41042,39218,4_2011,0.9692399879980764,-5.024372564303567,1.9855829283512532e-05
42806,42051,5_2012,0.9692399879980764,-5.024372564303567,1.9855829283512532e-05
12347,39027,3_2011,0.9855327432578459,-5.020595058594867,2.020185779368166e-05
44864,45063,0_2013,0.9737420527962687,-5.013342168906894,2.0882619433513347e-05
43790,45209,2_2013,0.9542393446790814,-5.005639199416321,2.162984421164098e-05
43462,18986,8_2013,-0.9561266037127417,-5.005096938068831,2.168340672175415e-05
12876,45434,0_2013,0.9827023647274761,-5.003405877756474,2.1851265991326402e-05
45368,18986,8_2013,-0.9562963111044875,-5.00222764031768,2.1968961108696112e-05
40229,40399,6_2011,0.9655076605777487,-5.000302682395058,2.2162563209411002e-05
18611,39514,3_2011,0.95382935659768,-4.999764415803986,2.221699291465965e-05
18415,12337,3_2011,0.9833246005675894,-4.995743328737476,2.262770485906939e-05
41724,42415,0_2012,0.9833246005675894,-4.995743328737476,2.262770485906939e-05
39290,39918,2_2011,0.9725706987377081,-4.989401793247535,2.3290342705388823e-05
18687,41124,4_2012,0.9725706987377081,-4.989401793247535,2.3290342705388823e-05
39514,40802,3_2011,0.9731053485137263,-4.988394919122545,2.3397259092377137e-05
45726,45382,0_2013,0.9731053485137263,-4.988394919122545,2.3397259092377137e-05
38963,18562,3_2011,-0.9517277651035448,-4.980213709870306,2.42837100280701e-05
39209,40198,2_2011,0.9791982960190256,-4.97920882943121,2.4394797852571436e-05
41470,42824,4_2012,0.9739600980813755,-4.970266273484898,2.5405195562265032e-05
44090,45583,2_2013,0.9739600980813755,-4.970266273484898,2.5405195562265032e-05
41697,43050,6_2012,0.9555280459322074,-4.96176074777816,2.640355709363198e-05
41048,40712,0_2011,0.9555280459322074,-4.96176074777816,2.640355709363198e-05
43336,42336,8_2012,0.9834626215899199,-4.96117584543768,2.647358360938153e-05
38892,39027,3_2011,0.9834626215899199,-4.96117584543768,2.647358360938153e-05
40701,39063,6_2011,0.9707218372533597,-4.959531077954067,2.667146123434065e-05
41488,42414,0_2012,0.9640792396497331,-4.94176341717436,2.8901931205592677e-05
44646,45150,0_2013,0.9640792396497331,-4.94176341717436,2.8901931205592677e-05
44670,43479,0_2013,0.9786964278214911,-4.93876735708569,2.929532608146638e-05
18467,39706,3_2011,0.9786964278214911,-4.93876735708569,2.929532608146638e-05
42824,42638,4_2012,0.9834323962820413,-4.935988329167895,2.9664829743652732e-05
44596,18986,8_2013,-0.951040654384333,-4.932390679349311,3.014984850058207e-05
12340,40818,1_2011,0.9859957393652122,-4.93112837934982,3.032182858863983e-05
19227,43412,4_2013,0.9896879033679272,-4.9293442741527835,3.056651292626225e-05
18467,12337,3_2011,0.9627911598051097,-4.92383109662489,3.133469986874999e-05
44670,45286,0_2013,0.9627911598051097,-4.92383109662489,3.133469986874999e-05
43899,44076,0_2013,0.9724969859029651,-4.910443241497218,3.3278255815798255e-05
39311,12226,3_2011,0.9724969859029651,-4.910443241497218,3.3278255815798255e-05
42405,42185,0_2012,0.9724969859029651,-4.910443241497218,3.3278255815798255e-05
39311,12325,3_2011,0.9638403295229101,-4.908073068409233,3.363421709663851e-05
44416,45734,0_2013,0.9624816585517445,-4.903718258607706,3.4297811035929564e-05
41542,42494,0_2012,0.9624816585517445,-4.903718258607706,3.4297811035929564e-05
19182,45595,0_2013,0.9532520757799301,-4.900087371395171,3.486070580342412e-05
38880,40334,3_2011,0.9532520757799301,-4.900087371395171,3.486070580342412e-05
